"Presidential General Election Returns by County, National Summary (1988)"
"Generated from CQ Press U.S. Political Stats Database, January 14, 2016"
,
,
State,County,"Winning Party","Dem. Candidate (1988)","Dem. Votes","Dem. %","Rep. Candidate (1988)","Rep. Votes","Rep. %","Highest Other (1988)","Other Votes","Other %"
NE,ADAMS,R,"Dukakis, Michael",4145,33.7,"Bush, George",8063,65.6,"Other/Unknown, ",79,0.6
NE,ANTELOPE,R,"Dukakis, Michael",933,26.2,"Bush, George",2626,73.8,"Other/Unknown, ",,
NE,ARTHUR,R,"Dukakis, Michael",58,21.6,"Bush, George",210,78.1,"Other/Unknown, ",1,0.4
NE,BANNER,R,"Dukakis, Michael",112,23.5,"Bush, George",361,75.7,"Other/Unknown, ",4,0.8
NE,BLAINE,R,"Dukakis, Michael",72,17.5,"Bush, George",338,82.2,"Other/Unknown, ",1,0.2
NE,BOONE,R,"Dukakis, Michael",976,31,"Bush, George",2160,68.6,"Other/Unknown, ",14,0.4
NE,"BOX BUTTE",R,"Dukakis, Michael",2466,42.8,"Bush, George",3253,56.4,"Other/Unknown, ",45,0.8
NE,BOYD,R,"Dukakis, Michael",480,32.7,"Bush, George",967,65.9,"Other/Unknown, ",20,1.4
NE,BROWN,R,"Dukakis, Michael",435,24.4,"Bush, George",1335,74.9,"Other/Unknown, ",12,0.7
NE,BUFFALO,R,"Dukakis, Michael",4700,31.7,"Bush, George",9980,67.3,"Other/Unknown, ",145,1
NE,BURT,R,"Dukakis, Michael",1458,41.3,"Bush, George",2050,58.1,"Other/Unknown, ",23,0.7
NE,BUTLER,R,"Dukakis, Michael",1715,44.9,"Bush, George",2083,54.6,"Other/Unknown, ",18,0.5
NE,CASS,R,"Dukakis, Michael",3674,43.9,"Bush, George",4658,55.6,"Other/Unknown, ",46,0.5
NE,CEDAR,R,"Dukakis, Michael",1759,41.5,"Bush, George",2462,58.1,"Other/Unknown, ",17,0.4
NE,CHASE,R,"Dukakis, Michael",597,28.7,"Bush, George",1446,69.5,"Other/Unknown, ",39,1.9
NE,CHERRY,R,"Dukakis, Michael",642,22.2,"Bush, George",2240,77.3,"Other/Unknown, ",14,0.5
NE,CHEYENNE,R,"Dukakis, Michael",1333,31.6,"Bush, George",2862,67.8,"Other/Unknown, ",28,0.7
NE,CLAY,R,"Dukakis, Michael",1097,31.6,"Bush, George",2352,67.8,"Other/Unknown, ",21,0.6
NE,COLFAX,R,"Dukakis, Michael",1542,39.6,"Bush, George",2329,59.7,"Other/Unknown, ",27,0.7
NE,CUMING,R,"Dukakis, Michael",1238,27.7,"Bush, George",3201,71.7,"Other/Unknown, ",24,0.5
NE,CUSTER,R,"Dukakis, Michael",1496,26.1,"Bush, George",4202,73.4,"Other/Unknown, ",27,0.5
NE,DAKOTA,D,"Dukakis, Michael",2941,51.6,"Bush, George",2744,48.2,"Other/Unknown, ",11,0.2
NE,DAWES,R,"Dukakis, Michael",1122,29.8,"Bush, George",2618,69.5,"Other/Unknown, ",27,0.7
