"Presidential General Election Returns by County, National Summary (2000)"
"Generated from CQ Press U.S. Political Stats Database, January 14, 2016"
,
,
State,County,"Winning Party","Dem. Candidate (2000)","Dem. Votes","Dem. %","Rep. Candidate (2000)","Rep. Votes","Rep. %","Highest Other (2000)","Other Votes","Other %"
NE,LANCASTER,R,"Gore, Albert",44650,41.7,"Bush, George",55514,51.8,"Nader, Ralph",6182,5.8
NE,LINCOLN,R,"Gore, Albert",5205,34.4,"Bush, George",9220,61,"Nader, Ralph",502,3.3
NE,LOGAN,R,"Gore, Albert",60,14.6,"Bush, George",336,81.6,"Nader, Ralph",11,2.7
NE,LOUP,R,"Gore, Albert",84,22.2,"Bush, George",284,75.1,"Nader, Ralph",7,1.9
NE,MADISON,R,"Gore, Albert",2772,21.6,"Bush, George",9636,75,"Nader, Ralph",290,2.3
NE,MCPHERSON,R,"Gore, Albert",48,15.9,"Bush, George",244,81.1,"Nader, Ralph",1,0.3
NE,MERRICK,R,"Gore, Albert",848,25.4,"Bush, George",2380,71.3,"Nader, Ralph",84,2.5
NE,MORRILL,R,"Gore, Albert",460,21.5,"Bush, George",1597,74.7,"Nader, Ralph",46,2.2
NE,NANCE,R,"Gore, Albert",497,29.8,"Bush, George",1105,66.4,"Nader, Ralph",46,2.8
NE,NEMAHA,R,"Gore, Albert",1063,31.6,"Bush, George",2177,64.6,"Nader, Ralph",94,2.8
NE,NUCKOLLS,R,"Gore, Albert",644,26.4,"Bush, George",1701,69.6,"Nader, Ralph",66,2.7
NE,OTOE,R,"Gore, Albert",2208,33.1,"Bush, George",4178,62.7,"Nader, Ralph",218,3.3
NE,PAWNEE,R,"Gore, Albert",522,34.4,"Bush, George",937,61.7,"Nader, Ralph",38,2.5
NE,PERKINS,R,"Gore, Albert",243,16.7,"Bush, George",1170,80.6,"Nader, Ralph",31,2.1
NE,PHELPS,R,"Gore, Albert",934,20.2,"Bush, George",3575,77.3,"Nader, Ralph",86,1.9
NE,PIERCE,R,"Gore, Albert",570,17.8,"Bush, George",2534,79,"Nader, Ralph",52,1.6
NE,PLATTE,R,"Gore, Albert",2612,20.3,"Bush, George",9861,76.7,"Nader, Ralph",266,2.1
NE,POLK,R,"Gore, Albert",610,23.3,"Bush, George",1925,73.7,"Nader, Ralph",52,2
NE,"RED WILLOW",R,"Gore, Albert",1188,23.6,"Bush, George",3680,73.2,"Nader, Ralph",103,2
NE,RICHARDSON,R,"Gore, Albert",1382,33.3,"Bush, George",2623,63.2,"Nader, Ralph",83,2
NE,ROCK,R,"Gore, Albert",141,15.8,"Bush, George",725,81.1,"Nader, Ralph",17,1.9
NE,SALINE,R,"Gore, Albert",2321,45.1,"Bush, George",2581,50.2,"Nader, Ralph",187,3.6
NE,SARPY,R,"Gore, Albert",14637,32.3,"Bush, George",28979,64,"Nader, Ralph",1308,2.9
NE,SAUNDERS,R,"Gore, Albert",2852,32,"Bush, George",5688,63.8,"Nader, Ralph",277,3.1
NE,"SCOTTS BLUFF",R,"Gore, Albert",3937,28.4,"Bush, George",9397,67.9,"Nader, Ralph",400,2.9
NE,SEWARD,R,"Gore, Albert",2250,32.1,"Bush, George",4457,63.5,"Nader, Ralph",245,3.5
NE,SHERIDAN,R,"Gore, Albert",392,15.2,"Bush, George",2105,81.7,"Nader, Ralph",54,2.1
NE,SHERMAN,R,"Gore, Albert",564,33.1,"Bush, George",1072,62.9,"Nader, Ralph",48,2.8
NE,SIOUX,R,"Gore, Albert",98,13,"Bush, George",629,83.6,"Nader, Ralph",18,2.4
NE,STANTON,R,"Gore, Albert",500,20.1,"Bush, George",1895,76.2,"Nader, Ralph",53,2.1
NE,THAYER,R,"Gore, Albert",821,27.3,"Bush, George",2096,69.7,"Nader, Ralph",65,2.2
NE,THOMAS,R,"Gore, Albert",55,13.9,"Bush, George",329,83.3,"Nader, Ralph",9,2.3
NE,THURSTON,R,"Gore, Albert",924,44.4,"Bush, George",1040,50,"Nader, Ralph",56,2.7
NE,VALLEY,R,"Gore, Albert",583,25.8,"Bush, George",1610,71.1,"Nader, Ralph",45,2
NE,WASHINGTON,R,"Gore, Albert",2550,29.6,"Bush, George",5758,66.8,"Nader, Ralph",234,2.7
NE,WAYNE,R,"Gore, Albert",1001,25.4,"Bush, George",2774,70.4,"Nader, Ralph",119,3
NE,WEBSTER,R,"Gore, Albert",584,30,"Bush, George",1302,66.9,"Nader, Ralph",48,2.5
NE,WHEELER,R,"Gore, Albert",85,18.8,"Bush, George",351,77.5,"Nader, Ralph",11,2.4
NE,YORK,R,"Gore, Albert",1407,21.8,"Bush, George",4816,74.6,"Nader, Ralph",161,2.5
