"Presidential General Election Returns by County, National Summary (2004)"
"Generated from CQ Press U.S. Political Stats Database, January 14, 2016"
,
,
State,County,"Winning Party","Dem. Candidate (2004)","Dem. Votes","Dem. %","Rep. Candidate (2004)","Rep. Votes","Rep. %","Highest Other (2004)","Other Votes","Other %"
NE,ADAMS,R,"Kerry, John",3791,28.5,"Bush, George",9233,69.5,"Other/Unknown, ",262,2
NE,ANTELOPE,R,"Kerry, John",613,17.9,"Bush, George",2761,80.6,"Other/Unknown, ",50,1.5
NE,ARTHUR,R,"Kerry, John",24,9,"Bush, George",240,90.2,"Other/Unknown, ",2,0.8
NE,BANNER,R,"Kerry, John",56,12.8,"Bush, George",379,86.7,"Other/Unknown, ",2,0.5
NE,BLAINE,R,"Kerry, John",38,11.2,"Bush, George",301,88.8,"Other/Unknown, ",,
NE,BOONE,R,"Kerry, John",546,18.9,"Bush, George",2309,79.8,"Other/Unknown, ",40,1.4
NE,"BOX BUTTE",R,"Kerry, John",1657,32.2,"Bush, George",3396,65.9,"Other/Unknown, ",99,1.9
NE,BOYD,R,"Kerry, John",228,19.9,"Bush, George",911,79.4,"Other/Unknown, ",9,0.8
NE,BROWN,R,"Kerry, John",268,15.5,"Bush, George",1426,82.3,"Other/Unknown, ",39,2.3
NE,BUFFALO,R,"Kerry, John",4100,22,"Bush, George",14222,76.4,"Other/Unknown, ",286,1.5
NE,BURT,R,"Kerry, John",1272,34.7,"Bush, George",2349,64,"Other/Unknown, ",47,1.3
NE,BUTLER,R,"Kerry, John",1068,25.6,"Bush, George",3016,72.4,"Other/Unknown, ",84,2
NE,CASS,R,"Kerry, John",3619,31.4,"Bush, George",7763,67.3,"Other/Unknown, ",147,1.3
NE,CEDAR,R,"Kerry, John",1083,23.9,"Bush, George",3387,74.7,"Other/Unknown, ",66,1.5
NE,CHASE,R,"Kerry, John",302,15.3,"Bush, George",1652,83.7,"Other/Unknown, ",19,1
NE,CHERRY,R,"Kerry, John",483,15.9,"Bush, George",2509,82.5,"Other/Unknown, ",50,1.6
NE,CHEYENNE,R,"Kerry, John",893,18.8,"Bush, George",3791,79.9,"Other/Unknown, ",62,1.3
NE,CLAY,R,"Kerry, John",743,22.3,"Bush, George",2543,76.2,"Other/Unknown, ",51,1.5
NE,COLFAX,R,"Kerry, John",990,27.3,"Bush, George",2589,71.3,"Other/Unknown, ",54,1.5
NE,CUMING,R,"Kerry, John",966,22.2,"Bush, George",3330,76.6,"Other/Unknown, ",53,1.2
NE,CUSTER,R,"Kerry, John",1040,18.5,"Bush, George",4518,80.5,"Other/Unknown, ",54,1
NE,DAKOTA,R,"Kerry, John",3027,45.8,"Bush, George",3526,53.3,"Other/Unknown, ",62,0.9
NE,DAWES,R,"Kerry, John",1119,28,"Bush, George",2809,70.3,"Other/Unknown, ",66,1.7
NE,DAWSON,R,"Kerry, John",1728,21.7,"Bush, George",6149,77.3,"Other/Unknown, ",79,1
NE,DEUEL,R,"Kerry, John",222,21.1,"Bush, George",820,77.9,"Other/Unknown, ",11,1
NE,DIXON,R,"Kerry, John",938,31.2,"Bush, George",2028,67.4,"Other/Unknown, ",43,1.4
NE,DODGE,R,"Kerry, John",5250,32.5,"Bush, George",10716,66.3,"Other/Unknown, ",206,1.3
NE,DOUGLAS,R,"Kerry, John",83330,40.2,"Bush, George",120813,58.3,"Other/Unknown, ",2928,1.4
NE,DUNDY,R,"Kerry, John",186,17.7,"Bush, George",858,81.5,"Other/Unknown, ",9,0.9
NE,FILLMORE,R,"Kerry, John",828,25.9,"Bush, George",2314,72.5,"Other/Unknown, ",51,1.6
NE,FRANKLIN,R,"Kerry, John",412,24,"Bush, George",1277,74.5,"Other/Unknown, ",25,1.5
NE,FRONTIER,R,"Kerry, John",275,18.7,"Bush, George",1160,79.1,"Other/Unknown, ",32,2.2
NE,FURNAS,R,"Kerry, John",492,19.9,"Bush, George",1950,79,"Other/Unknown, ",25,1
NE,GAGE,R,"Kerry, John",3655,35.2,"Bush, George",6575,63.3,"Other/Unknown, ",154,1.5
NE,GARDEN,R,"Kerry, John",201,17,"Bush, George",970,82,"Other/Unknown, ",12,1
NE,GARFIELD,R,"Kerry, John",196,19.3,"Bush, George",806,79.3,"Other/Unknown, ",15,1.5
NE,GOSPER,R,"Kerry, John",222,19.8,"Bush, George",890,79.5,"Other/Unknown, ",7,0.6
NE,GRANT,R,"Kerry, John",41,10.4,"Bush, George",352,88.9,"Other/Unknown, ",3,0.8
