"Presidential General Election Returns by County, National Summary (2008)"
"Generated from CQ Press U.S. Political Stats Database, January 14, 2016"
,
,
State,County,"Winning Party","Dem. Candidate (2008)","Dem. Votes","Dem. %","Rep. Candidate (2008)","Rep. Votes","Rep. %","Highest Other (2008)","Other Votes","Other %"
NE,ADAMS,R,"Obama, Barack",4685,35.5,"McCain, John",8252,62.5,"Other/Unknown, ",273,2.1
NE,ANTELOPE,R,"Obama, Barack",757,23.8,"McCain, John",2383,74.8,"Other/Unknown, ",45,1.4
NE,ARTHUR,R,"Obama, Barack",39,14.8,"McCain, John",217,82.5,"Other/Unknown, ",7,2.7
NE,BANNER,R,"Obama, Barack",62,14.9,"McCain, John",348,83.7,"Other/Unknown, ",6,1.4
NE,BLAINE,R,"Obama, Barack",43,13.6,"McCain, John",266,84.2,"Other/Unknown, ",7,2.2
NE,BOONE,R,"Obama, Barack",742,26.2,"McCain, John",2042,72,"Other/Unknown, ",52,1.8
NE,"BOX BUTTE",R,"Obama, Barack",1886,37.9,"McCain, John",2932,58.9,"Other/Unknown, ",161,3.2
NE,BOYD,R,"Obama, Barack",250,22.5,"McCain, John",839,75.6,"Other/Unknown, ",21,1.9
NE,BROWN,R,"Obama, Barack",311,19.8,"McCain, John",1208,77.1,"Other/Unknown, ",48,3.1
NE,BUFFALO,R,"Obama, Barack",5867,30.4,"McCain, John",13097,67.9,"Other/Unknown, ",329,1.7
NE,BURT,R,"Obama, Barack",1413,41.7,"McCain, John",1907,56.3,"Other/Unknown, ",67,2
NE,BUTLER,R,"Obama, Barack",1190,31,"McCain, John",2557,66.6,"Other/Unknown, ",92,2.4
NE,CASS,R,"Obama, Barack",4753,39.2,"McCain, John",7120,58.7,"Other/Unknown, ",249,2.1
NE,CEDAR,R,"Obama, Barack",1190,28.5,"McCain, John",2912,69.8,"Other/Unknown, ",72,1.7
NE,CHASE,R,"Obama, Barack",341,18.5,"McCain, John",1477,80.1,"Other/Unknown, ",26,1.4
NE,CHERRY,R,"Obama, Barack",599,19.6,"McCain, John",2360,77.1,"Other/Unknown, ",100,3.3
NE,CHEYENNE,R,"Obama, Barack",1173,24.2,"McCain, John",3572,73.8,"Other/Unknown, ",94,1.9
NE,CLAY,R,"Obama, Barack",780,25.7,"McCain, John",2177,71.8,"Other/Unknown, ",76,2.5
NE,COLFAX,R,"Obama, Barack",1125,35.1,"McCain, John",2018,63,"Other/Unknown, ",60,1.9
NE,CUMING,R,"Obama, Barack",1274,31.2,"McCain, John",2732,66.8,"Other/Unknown, ",81,2
NE,CUSTER,R,"Obama, Barack",1192,21.4,"McCain, John",4301,77.1,"Other/Unknown, ",85,1.5
NE,DAKOTA,R,"Obama, Barack",2994,46.8,"McCain, John",3292,51.5,"Other/Unknown, ",110,1.7
NE,DAWES,R,"Obama, Barack",1285,34,"McCain, John",2376,62.9,"Other/Unknown, ",114,3
NE,DAWSON,R,"Obama, Barack",2399,30,"McCain, John",5460,68.4,"Other/Unknown, ",127,1.6
NE,DEUEL,R,"Obama, Barack",243,24.5,"McCain, John",732,73.7,"Other/Unknown, ",18,1.8
NE,DIXON,R,"Obama, Barack",946,33.9,"McCain, John",1785,63.9,"Other/Unknown, ",63,2.3
NE,DODGE,R,"Obama, Barack",6689,43,"McCain, John",8557,55,"Other/Unknown, ",304,2
