"Presidential General Election Returns by County, National Summary (2012)"
"Generated from CQ Press U.S. Political Stats Database, January 14, 2016"
,
,
State,County,"Winning Party","Dem. Candidate (2012)","Dem. Votes","Dem. %","Rep. Candidate (2012)","Rep. Votes","Rep. %","Highest Other (2012)","Other Votes","Other %"
NE,ADAMS,R,"Obama, Barack",4062,32.1,"Romney, W. Mitt",8316,65.6,"Johnson, Gary",180,1.4
NE,ANTELOPE,R,"Obama, Barack",571,17.7,"Romney, W. Mitt",2596,80.3,"Johnson, Gary",39,1.2
NE,ARTHUR,R,"Obama, Barack",30,11.5,"Romney, W. Mitt",227,86.6,"Johnson, Gary",4,1.5
NE,BANNER,R,"Obama, Barack",55,13.4,"Romney, W. Mitt",346,84.2,"Johnson, Gary",6,1.5
NE,BLAINE,R,"Obama, Barack",29,9.6,"Romney, W. Mitt",268,88.4,"Johnson, Gary",4,1.3
NE,BOONE,R,"Obama, Barack",615,21.9,"Romney, W. Mitt",2138,76.2,"Johnson, Gary",31,1.1
NE,"BOX BUTTE",R,"Obama, Barack",1692,36,"Romney, W. Mitt",2869,61,"Johnson, Gary",96,2
NE,BOYD,R,"Obama, Barack",188,17.6,"Romney, W. Mitt",873,81.5,"Johnson, Gary",5,0.5
NE,BROWN,R,"Obama, Barack",224,14.4,"Romney, W. Mitt",1302,83.7,"Johnson, Gary",17,1.1
NE,BUFFALO,R,"Obama, Barack",5365,27.6,"Romney, W. Mitt",13570,69.8,"Johnson, Gary",356,1.8
NE,BURT,R,"Obama, Barack",1291,38.3,"Romney, W. Mitt",2029,60.1,"Johnson, Gary",33,1
NE,BUTLER,R,"Obama, Barack",1045,27.1,"Romney, W. Mitt",2738,71,"Johnson, Gary",51,1.3
NE,CASS,R,"Obama, Barack",4367,35.9,"Romney, W. Mitt",7556,62,"Johnson, Gary",174,1.4
NE,CEDAR,R,"Obama, Barack",958,22.1,"Romney, W. Mitt",3278,75.6,"Johnson, Gary",61,1.4
NE,CHASE,R,"Obama, Barack",254,13.6,"Romney, W. Mitt",1584,84.8,"Johnson, Gary",17,0.9
NE,CHERRY,R,"Obama, Barack",436,14.2,"Romney, W. Mitt",2557,83.5,"Johnson, Gary",47,1.5
NE,CHEYENNE,R,"Obama, Barack",1084,23.3,"Romney, W. Mitt",3449,74.2,"Johnson, Gary",69,1.5
NE,CLAY,R,"Obama, Barack",667,22.6,"Romney, W. Mitt",2232,75.7,"Johnson, Gary",31,1.1
NE,COLFAX,R,"Obama, Barack",969,31.6,"Romney, W. Mitt",2051,66.8,"Johnson, Gary",31,1
NE,CUMING,R,"Obama, Barack",1031,25.9,"Romney, W. Mitt",2876,72.3,"Johnson, Gary",41,1
NE,CUSTER,R,"Obama, Barack",1083,19.7,"Romney, W. Mitt",4296,78.1,"Johnson, Gary",79,1.4
NE,DAKOTA,R,"Obama, Barack",2922,47.6,"Romney, W. Mitt",3094,50.4,"Johnson, Gary",82,1.3
NE,DAWES,R,"Obama, Barack",1132,30.4,"Romney, W. Mitt",2478,66.5,"Johnson, Gary",71,1.9
