"Presidential General Election Returns by County, National Summary (1996)"
"Generated from CQ Press U.S. Political Stats Database, January 14, 2016"
,
,
State,County,"Winning Party","Dem. Candidate (1996)","Dem. Votes","Dem. %","Rep. Candidate (1996)","Rep. Votes","Rep. %","Highest Other (1996)","Other Votes","Other %"
NE,ADAMS,R,"Clinton, Bill",3935,31.5,"Dole, Robert",6924,55.4,"Perot, Ross",1513,12.1
NE,ANTELOPE,R,"Clinton, Bill",884,26.2,"Dole, Robert",2005,59.5,"Perot, Ross",457,13.6
NE,ARTHUR,R,"Clinton, Bill",25,9.7,"Dole, Robert",187,72.5,"Perot, Ross",46,17.8
NE,BANNER,R,"Clinton, Bill",62,15.3,"Dole, Robert",309,76.1,"Perot, Ross",30,7.4
NE,BLAINE,R,"Clinton, Bill",53,14,"Dole, Robert",284,75.1,"Perot, Ross",39,10.3
NE,BOONE,R,"Clinton, Bill",806,27.4,"Dole, Robert",1695,57.6,"Perot, Ross",424,14.4
NE,"BOX BUTTE",R,"Clinton, Bill",1782,35.8,"Dole, Robert",2458,49.4,"Perot, Ross",695,14
NE,BOYD,R,"Clinton, Bill",372,27.7,"Dole, Robert",778,58,"Perot, Ross",181,13.5
NE,BROWN,R,"Clinton, Bill",359,20.3,"Dole, Robert",1105,62.6,"Perot, Ross",289,16.4
NE,BUFFALO,R,"Clinton, Bill",4277,27,"Dole, Robert",10004,63.1,"Perot, Ross",1484,9.4
NE,BURT,R,"Clinton, Bill",1237,35.4,"Dole, Robert",1707,48.8,"Perot, Ross",497,14.2
NE,BUTLER,R,"Clinton, Bill",1099,29.7,"Dole, Robert",2042,55.2,"Perot, Ross",512,13.9
NE,CASS,R,"Clinton, Bill",3477,35.9,"Dole, Robert",4878,50.4,"Perot, Ross",1239,12.8
NE,CEDAR,R,"Clinton, Bill",1218,29.3,"Dole, Robert",2171,52.2,"Perot, Ross",739,17.8
NE,CHASE,R,"Clinton, Bill",365,19.7,"Dole, Robert",1277,68.9,"Perot, Ross",197,10.6
NE,CHERRY,R,"Clinton, Bill",551,19.7,"Dole, Robert",1905,68,"Perot, Ross",332,11.9
NE,CHEYENNE,R,"Clinton, Bill",1059,26.7,"Dole, Robert",2571,64.8,"Perot, Ross",287,7.2
NE,CLAY,R,"Clinton, Bill",880,26.6,"Dole, Robert",1982,59.9,"Perot, Ross",425,12.8
NE,COLFAX,R,"Clinton, Bill",1065,30.1,"Dole, Robert",1954,55.2,"Perot, Ross",492,13.9
NE,CUMING,R,"Clinton, Bill",1033,25.3,"Dole, Robert",2520,61.6,"Perot, Ross",503,12.3
NE,CUSTER,R,"Clinton, Bill",1293,24,"Dole, Robert",3453,64.1,"Perot, Ross",615,11.4
NE,DAKOTA,D,"Clinton, Bill",2632,44,"Dole, Robert",2592,43.3,"Perot, Ross",721,12
NE,DAWES,R,"Clinton, Bill",1108,31,"Dole, Robert",1991,55.7,"Perot, Ross",442,12.4
NE,DAWSON,R,"Clinton, Bill",2180,27,"Dole, Robert",4794,59.4,"Perot, Ross",1044,12.9
NE,DEUEL,R,"Clinton, Bill",245,24.7,"Dole, Robert",629,63.5,"Perot, Ross",111,11.2
NE,DIXON,R,"Clinton, Bill",931,32.7,"Dole, Robert",1478,52,"Perot, Ross",414,14.6
NE,DODGE,R,"Clinton, Bill",5181,35.3,"Dole, Robert",7484,51,"Perot, Ross",1894,12.9
NE,DOUGLAS,R,"Clinton, Bill",70708,39.3,"Dole, Robert",92334,51.4,"Perot, Ross",14863,8.3
NE,DUNDY,R,"Clinton, Bill",224,20.3,"Dole, Robert",752,68.3,"Perot, Ross",112,10.2
NE,FILLMORE,R,"Clinton, Bill",1058,34.2,"Dole, Robert",1696,54.8,"Perot, Ross",321,10.4
NE,FRANKLIN,R,"Clinton, Bill",483,28.1,"Dole, Robert",1013,59,"Perot, Ross",215,12.5
NE,FRONTIER,R,"Clinton, Bill",310,22.4,"Dole, Robert",901,65,"Perot, Ross",169,12.2
NE,FURNAS,R,"Clinton, Bill",663,27.5,"Dole, Robert",1475,61.2,"Perot, Ross",207,8.6
NE,GAGE,R,"Clinton, Bill",4008,40.7,"Dole, Robert",4413,44.8,"Perot, Ross",1346,13.7
NE,GARDEN,R,"Clinton, Bill",279,21.5,"Dole, Robert",851,65.6,"Perot, Ross",155,12
NE,GARFIELD,R,"Clinton, Bill",249,25.2,"Dole, Robert",625,63.3,"Perot, Ross",111,11.2
NE,GOSPER,R,"Clinton, Bill",275,26.5,"Dole, Robert",609,58.8,"Perot, Ross",150,14.5
NE,GRANT,R,"Clinton, Bill",84,21.1,"Dole, Robert",258,64.8,"Perot, Ross",55,13.8
NE,GREELEY,R,"Clinton, Bill",472,37,"Dole, Robert",642,50.3,"Perot, Ross",155,12.1
NE,HALL,R,"Clinton, Bill",6708,34.5,"Dole, Robert",10183,52.4,"Perot, Ross",2403,12.4
NE,HAMILTON,R,"Clinton, Bill",1172,27.4,"Dole, Robert",2623,61.4,"Perot, Ross",457,10.7
NE,HARLAN,R,"Clinton, Bill",520,28,"Dole, Robert",1120,60.3,"Perot, Ross",203,10.9
NE,HAYES,R,"Clinton, Bill",87,15.3,"Dole, Robert",439,77,"Perot, Ross",39,6.8
NE,HITCHCOCK,R,"Clinton, Bill",409,26.1,"Dole, Robert",977,62.3,"Perot, Ross",173,11
NE,HOLT,R,"Clinton, Bill",1107,21,"Dole, Robert",3436,65.3,"Perot, Ross",677,12.9
NE,HOOKER,R,"Clinton, Bill",115,22.4,"Dole, Robert",308,59.9,"Perot, Ross",83,16.1
NE,HOWARD,R,"Clinton, Bill",853,33,"Dole, Robert",1294,50.1,"Perot, Ross",417,16.1
NE,JEFFERSON,R,"Clinton, Bill",1520,37.8,"Dole, Robert",1979,49.2,"Perot, Ross",495,12.3
NE,JOHNSON,R,"Clinton, Bill",770,36.6,"Dole, Robert",1009,48,"Perot, Ross",309,14.7
NE,KEARNEY,R,"Clinton, Bill",782,25.7,"Dole, Robert",1953,64.1,"Perot, Ross",296,9.7
NE,KEITH,R,"Clinton, Bill",830,21.7,"Dole, Robert",2504,65.5,"Perot, Ross",460,12
NE,"KEYA PAHA",R,"Clinton, Bill",94,17.6,"Dole, Robert",385,72.1,"Perot, Ross",47,8.8
NE,KIMBALL,R,"Clinton, Bill",527,29.5,"Dole, Robert",1011,56.7,"Perot, Ross",212,11.9
NE,KNOX,R,"Clinton, Bill",1266,32.1,"Dole, Robert",2123,53.9,"Perot, Ross",531,13.5
NE,LANCASTER,R,"Clinton, Bill",43339,44.4,"Dole, Robert",44812,45.9,"Perot, Ross",8595,8.8
NE,LINCOLN,R,"Clinton, Bill",5165,34.9,"Dole, Robert",7482,50.5,"Perot, Ross",2043,13.8
NE,LOGAN,R,"Clinton, Bill",79,17.6,"Dole, Robert",294,65.6,"Perot, Ross",72,16.1
NE,LOUP,R,"Clinton, Bill",74,22.2,"Dole, Robert",229,68.8,"Perot, Ross",28,8.4
NE,MADISON,R,"Clinton, Bill",3047,24.1,"Dole, Robert",7965,63,"Perot, Ross",1554,12.3
NE,MCPHERSON,R,"Clinton, Bill",50,15.5,"Dole, Robert",233,72.4,"Perot, Ross",33,10.2
NE,MERRICK,R,"Clinton, Bill",997,28.1,"Dole, Robert",2084,58.7,"Perot, Ross",449,12.6
NE,MORRILL,R,"Clinton, Bill",620,28.2,"Dole, Robert",1296,58.9,"Perot, Ross",262,11.9
NE,NANCE,R,"Clinton, Bill",585,33.9,"Dole, Robert",892,51.7,"Perot, Ross",238,13.8
NE,NEMAHA,R,"Clinton, Bill",1232,33.9,"Dole, Robert",1888,51.9,"Perot, Ross",485,13.3
NE,NUCKOLLS,R,"Clinton, Bill",757,30.7,"Dole, Robert",1383,56,"Perot, Ross",306,12.4
NE,OTOE,R,"Clinton, Bill",2279,35,"Dole, Robert",3290,50.6,"Perot, Ross",877,13.5
NE,PAWNEE,R,"Clinton, Bill",580,37,"Dole, Robert",766,48.8,"Perot, Ross",207,13.2
NE,PERKINS,R,"Clinton, Bill",352,22.8,"Dole, Robert",1018,66.1,"Perot, Ross",163,10.6
NE,PHELPS,R,"Clinton, Bill",1071,23.4,"Dole, Robert",3015,65.9,"Perot, Ross",465,10.2
NE,PIERCE,R,"Clinton, Bill",697,22.6,"Dole, Robert",1923,62.4,"Perot, Ross",446,14.5
NE,PLATTE,R,"Clinton, Bill",3010,24.3,"Dole, Robert",7948,64.1,"Perot, Ross",1353,10.9
NE,POLK,R,"Clinton, Bill",750,29.3,"Dole, Robert",1504,58.8,"Perot, Ross",268,10.5
NE,"RED WILLOW",R,"Clinton, Bill",1365,27.2,"Dole, Robert",3112,62.1,"Perot, Ross",499,10
NE,RICHARDSON,R,"Clinton, Bill",1517,35.5,"Dole, Robert",2089,48.9,"Perot, Ross",633,14.8
NE,ROCK,R,"Clinton, Bill",180,20.3,"Dole, Robert",564,63.7,"Perot, Ross",135,15.3
NE,SALINE,D,"Clinton, Bill",2523,48.8,"Dole, Robert",1945,37.6,"Perot, Ross",689,13.3
NE,SARPY,R,"Clinton, Bill",12806,32.1,"Dole, Robert",23023,57.7,"Perot, Ross",3722,9.3
NE,SAUNDERS,R,"Clinton, Bill",2777,32.3,"Dole, Robert",4514,52.5,"Perot, Ross",1223,14.2
NE,"SCOTTS BLUFF",R,"Clinton, Bill",4547,33.6,"Dole, Robert",7641,56.4,"Perot, Ross",1251,9.2
NE,SEWARD,R,"Clinton, Bill",2432,36.2,"Dole, Robert",3479,51.9,"Perot, Ross",745,11.1
NE,SHERIDAN,R,"Clinton, Bill",573,21.1,"Dole, Robert",1834,67.5,"Perot, Ross",289,10.6
NE,SHERMAN,R,"Clinton, Bill",567,33.9,"Dole, Robert",822,49.2,"Perot, Ross",266,15.9
NE,SIOUX,R,"Clinton, Bill",138,18,"Dole, Robert",551,71.7,"Perot, Ross",75,9.8
NE,STANTON,R,"Clinton, Bill",577,23.6,"Dole, Robert",1457,59.6,"Perot, Ross",386,15.8
NE,THAYER,R,"Clinton, Bill",933,31.2,"Dole, Robert",1698,56.8,"Perot, Ross",334,11.2
NE,THOMAS,R,"Clinton, Bill",64,14.9,"Dole, Robert",303,70.6,"Perot, Ross",62,14.5
NE,THURSTON,D,"Clinton, Bill",962,45.5,"Dole, Robert",835,39.5,"Perot, Ross",293,13.9
NE,VALLEY,R,"Clinton, Bill",758,31.7,"Dole, Robert",1346,56.3,"Perot, Ross",274,11.5
NE,WASHINGTON,R,"Clinton, Bill",2248,29.2,"Dole, Robert",4391,57,"Perot, Ross",971,12.6
NE,WAYNE,R,"Clinton, Bill",1048,28.5,"Dole, Robert",2150,58.5,"Perot, Ross",440,12
NE,WEBSTER,R,"Clinton, Bill",621,31.8,"Dole, Robert",1094,56,"Perot, Ross",236,12.1
NE,WHEELER,R,"Clinton, Bill",106,25.4,"Dole, Robert",241,57.7,"Perot, Ross",69,16.5
NE,YORK,R,"Clinton, Bill",1653,25.4,"Dole, Robert",4266,65.6,"Perot, Ross",559,8.6
MA,BARNSTABLE,D,"Clinton, Bill",59223,53.5,"Dole, Robert",40144,36.3,"Perot, Ross",9889,8.9
MA,BERKSHIRE,D,"Clinton, Bill",39338,64.7,"Dole, Robert",13055,21.5,"Perot, Ross",7569,12.5
MA,BRISTOL,D,"Clinton, Bill",127725,64.4,"Dole, Robert",47164,23.8,"Perot, Ross",21438,10.8
MA,DUKES,D,"Clinton, Bill",5137,66.7,"Dole, Robert",1739,22.6,"Perot, Ross",657,8.5
MA,ESSEX,D,"Clinton, Bill",171021,58.7,"Dole, Robert",89120,30.6,"Perot, Ross",27068,9.3
MA,FRANKLIN,D,"Clinton, Bill",19728,60.3,"Dole, Robert",8055,24.6,"Perot, Ross",3848,11.8
MA,HAMPDEN,D,"Clinton, Bill",105050,61,"Dole, Robert",48513,28.2,"Perot, Ross",16942,9.8
MA,HAMPSHIRE,D,"Clinton, Bill",41844,64.1,"Dole, Robert",14787,22.6,"Perot, Ross",6589,10.1
MA,MIDDLESEX,D,"Clinton, Bill",398190,63.4,"Dole, Robert",169926,27.1,"Perot, Ross",48112,7.7
MA,NANTUCKET,D,"Clinton, Bill",2453,59,"Dole, Robert",1222,29.4,"Perot, Ross",400,9.6
MA,NORFOLK,D,"Clinton, Bill",180504,60.1,"Dole, Robert",92982,30.9,"Perot, Ross",22949,7.6
MA,PLYMOUTH,D,"Clinton, Bill",106072,54.7,"Dole, Robert",64626,33.3,"Perot, Ross",20808,10.7
MA,SUFFOLK,D,"Clinton, Bill",145586,73,"Dole, Robert",39753,19.9,"Perot, Ross",10980,5.5
MA,WORCESTER,D,"Clinton, Bill",169892,58.3,"Dole, Robert",87021,29.8,"Perot, Ross",29968,10.3
CT,FAIRFIELD,D,"Clinton, Bill",172337,48.9,"Dole, Robert",144632,41.1,"Perot, Ross",27328,7.8
CT,HARTFORD,D,"Clinton, Bill",203549,57,"Dole, Robert",111566,31.3,"Perot, Ross",33685,9.4
CT,LITCHFIELD,D,"Clinton, Bill",37375,45.9,"Dole, Robert",31645,38.9,"Perot, Ross",9646,11.9
CT,MIDDLESEX,D,"Clinton, Bill",37695,52.5,"Dole, Robert",22960,32,"Perot, Ross",9136,12.7
CT,"NEW HAVEN",D,"Clinton, Bill",178323,54.7,"Dole, Robert",106636,32.7,"Perot, Ross",33454,10.3
