"Presidential General Election Returns by County, National Summary (1984)"
"Generated from CQ Press U.S. Political Stats Database, January 14, 2016"
,
,
State,County,"Winning Party","Dem. Candidate (1984)","Dem. Votes","Dem. %","Rep. Candidate (1984)","Rep. Votes","Rep. %","Highest Other (1984)","Other Votes","Other %"
NE,ADAMS,R,"Mondale, Walter",2945,24.2,"Reagan, Ronald",9127,75.1,"Other/Unknown, ",83,0.7
NE,ANTELOPE,R,"Mondale, Walter",697,17.7,"Reagan, Ronald",3222,81.8,"Other/Unknown, ",20,0.5
NE,ARTHUR,R,"Mondale, Walter",33,11.7,"Reagan, Ronald",248,88.3,"Other/Unknown, ",,
NE,BANNER,R,"Mondale, Walter",58,11.1,"Reagan, Ronald",457,87.5,"Other/Unknown, ",7,1.3
NE,BLAINE,R,"Mondale, Walter",48,11.7,"Reagan, Ronald",363,88.3,"Other/Unknown, ",,
NE,BOONE,R,"Mondale, Walter",690,21.5,"Reagan, Ronald",2508,78,"Other/Unknown, ",17,0.5
NE,"BOX BUTTE",R,"Mondale, Walter",1471,26.6,"Reagan, Ronald",4011,72.6,"Other/Unknown, ",43,0.8
NE,BOYD,R,"Mondale, Walter",308,20.6,"Reagan, Ronald",1175,78.5,"Other/Unknown, ",13,0.9
NE,BROWN,R,"Mondale, Walter",312,17,"Reagan, Ronald",1514,82.6,"Other/Unknown, ",7,0.4
NE,BUFFALO,R,"Mondale, Walter",3086,21.2,"Reagan, Ronald",11365,78.1,"Other/Unknown, ",99,0.7
NE,BURT,R,"Mondale, Walter",1054,28.3,"Reagan, Ronald",2645,71.1,"Other/Unknown, ",22,0.6
NE,BUTLER,R,"Mondale, Walter",1193,31.5,"Reagan, Ronald",2557,67.6,"Other/Unknown, ",35,0.9
NE,CASS,R,"Mondale, Walter",2499,31.1,"Reagan, Ronald",5461,68,"Other/Unknown, ",66,0.8
NE,CEDAR,R,"Mondale, Walter",1201,26.5,"Reagan, Ronald",3298,72.7,"Other/Unknown, ",37,0.8
NE,CHASE,R,"Mondale, Walter",368,17.5,"Reagan, Ronald",1697,80.9,"Other/Unknown, ",32,1.5
NE,CHERRY,R,"Mondale, Walter",463,14.5,"Reagan, Ronald",2720,85.1,"Other/Unknown, ",15,0.5
NE,CHEYENNE,R,"Mondale, Walter",857,21.1,"Reagan, Ronald",3159,77.7,"Other/Unknown, ",48,1.2
NE,CLAY,R,"Mondale, Walter",811,21.6,"Reagan, Ronald",2920,77.7,"Other/Unknown, ",25,0.7
NE,COLFAX,R,"Mondale, Walter",981,24.4,"Reagan, Ronald",2999,74.7,"Other/Unknown, ",36,0.9
NE,CUMING,R,"Mondale, Walter",779,16.4,"Reagan, Ronald",3931,82.9,"Other/Unknown, ",30,0.6
NE,CUSTER,R,"Mondale, Walter",1090,18.6,"Reagan, Ronald",4749,80.9,"Other/Unknown, ",28,0.5
NE,DAKOTA,R,"Mondale, Walter",2510,41.8,"Reagan, Ronald",3467,57.8,"Other/Unknown, ",25,0.4
NE,DAWES,R,"Mondale, Walter",865,20.4,"Reagan, Ronald",3326,78.6,"Other/Unknown, ",41,1
NE,DAWSON,R,"Mondale, Walter",1487,17.7,"Reagan, Ronald",6887,81.9,"Other/Unknown, ",33,0.4
NE,DEUEL,R,"Mondale, Walter",198,17,"Reagan, Ronald",962,82.4,"Other/Unknown, ",7,0.6
NE,DIXON,R,"Mondale, Walter",986,31.2,"Reagan, Ronald",2155,68.1,"Other/Unknown, ",23,0.7
NE,DODGE,R,"Mondale, Walter",4266,29.3,"Reagan, Ronald",10201,70.2,"Other/Unknown, ",74,0.5
NE,DOUGLAS,R,"Mondale, Walter",58979,34.2,"Reagan, Ronald",112676,65.3,"Other/Unknown, ",1003,0.6
NE,DUNDY,R,"Mondale, Walter",225,18.4,"Reagan, Ronald",992,81,"Other/Unknown, ",8,0.7
NE,FILLMORE,R,"Mondale, Walter",1009,28.7,"Reagan, Ronald",2474,70.5,"Other/Unknown, ",28,0.8
NE,FRANKLIN,R,"Mondale, Walter",522,24.5,"Reagan, Ronald",1597,75.1,"Other/Unknown, ",8,0.4
NE,FRONTIER,R,"Mondale, Walter",258,16,"Reagan, Ronald",1351,83.5,"Other/Unknown, ",8,0.5
NE,FURNAS,R,"Mondale, Walter",579,19.5,"Reagan, Ronald",2363,79.7,"Other/Unknown, ",24,0.8
NE,GAGE,R,"Mondale, Walter",2709,30.5,"Reagan, Ronald",6116,68.8,"Other/Unknown, ",67,0.8
NE,GARDEN,R,"Mondale, Walter",180,13.3,"Reagan, Ronald",1158,85.7,"Other/Unknown, ",13,1
NE,GARFIELD,R,"Mondale, Walter",196,17.8,"Reagan, Ronald",899,81.4,"Other/Unknown, ",9,0.8
NE,GOSPER,R,"Mondale, Walter",201,19.9,"Reagan, Ronald",802,79.3,"Other/Unknown, ",8,0.8
NE,GRANT,R,"Mondale, Walter",51,11.1,"Reagan, Ronald",406,88.5,"Other/Unknown, ",2,0.4
NE,GREELEY,R,"Mondale, Walter",485,33.6,"Reagan, Ronald",948,65.7,"Other/Unknown, ",9,0.6
NE,HALL,R,"Mondale, Walter",4655,25.9,"Reagan, Ronald",13193,73.5,"Other/Unknown, ",108,0.6
NE,HAMILTON,R,"Mondale, Walter",842,19.6,"Reagan, Ronald",3418,79.8,"Other/Unknown, ",25,0.6
NE,HARLAN,R,"Mondale, Walter",493,22.4,"Reagan, Ronald",1692,76.8,"Other/Unknown, ",18,0.8
NE,HAYES,R,"Mondale, Walter",101,14.6,"Reagan, Ronald",593,85.4,"Other/Unknown, ",,
NE,HITCHCOCK,R,"Mondale, Walter",341,19.6,"Reagan, Ronald",1391,80,"Other/Unknown, ",7,0.4
NE,HOLT,R,"Mondale, Walter",893,16.1,"Reagan, Ronald",4613,83.2,"Other/Unknown, ",39,0.7
NE,HOOKER,R,"Mondale, Walter",55,11.2,"Reagan, Ronald",433,87.8,"Other/Unknown, ",5,1
NE,HOWARD,R,"Mondale, Walter",887,31.6,"Reagan, Ronald",1899,67.7,"Other/Unknown, ",20,0.7
NE,JEFFERSON,R,"Mondale, Walter",1367,30.2,"Reagan, Ronald",3116,68.9,"Other/Unknown, ",40,0.9
NE,JOHNSON,R,"Mondale, Walter",821,34.3,"Reagan, Ronald",1542,64.4,"Other/Unknown, ",33,1.4
NE,KEARNEY,R,"Mondale, Walter",726,22.3,"Reagan, Ronald",2508,76.9,"Other/Unknown, ",28,0.9
NE,KEITH,R,"Mondale, Walter",631,15.5,"Reagan, Ronald",3433,84.1,"Other/Unknown, ",18,0.4
NE,"KEYA PAHA",R,"Mondale, Walter",128,20.2,"Reagan, Ronald",507,79.8,"Other/Unknown, ",,
NE,KIMBALL,R,"Mondale, Walter",339,16.2,"Reagan, Ronald",1734,83.1,"Other/Unknown, ",14,0.7
NE,KNOX,R,"Mondale, Walter",1149,25.2,"Reagan, Ronald",3364,73.8,"Other/Unknown, ",47,1
NE,LANCASTER,R,"Mondale, Walter",32898,40,"Reagan, Ronald",48778,59.3,"Other/Unknown, ",569,0.7
NE,LINCOLN,R,"Mondale, Walter",4509,29.5,"Reagan, Ronald",10717,70,"Other/Unknown, ",81,0.5
NE,LOGAN,R,"Mondale, Walter",67,13,"Reagan, Ronald",446,86.8,"Other/Unknown, ",1,0.2
NE,LOUP,R,"Mondale, Walter",79,19.6,"Reagan, Ronald",323,80,"Other/Unknown, ",2,0.5
NE,MADISON,R,"Mondale, Walter",1757,15.2,"Reagan, Ronald",9790,84.5,"Other/Unknown, ",42,0.4
NE,MCPHERSON,R,"Mondale, Walter",57,16,"Reagan, Ronald",295,82.9,"Other/Unknown, ",4,1.1
NE,MERRICK,R,"Mondale, Walter",818,23.1,"Reagan, Ronald",2700,76.1,"Other/Unknown, ",28,0.8
NE,MORRILL,R,"Mondale, Walter",464,19.6,"Reagan, Ronald",1888,79.8,"Other/Unknown, ",14,0.6
NE,NANCE,R,"Mondale, Walter",525,27.2,"Reagan, Ronald",1393,72.1,"Other/Unknown, ",13,0.7
NE,NEMAHA,R,"Mondale, Walter",1004,26.5,"Reagan, Ronald",2752,72.6,"Other/Unknown, ",37,1
NE,NUCKOLLS,R,"Mondale, Walter",947,30.6,"Reagan, Ronald",2132,68.8,"Other/Unknown, ",19,0.6
NE,OTOE,R,"Mondale, Walter",1869,28.3,"Reagan, Ronald",4679,70.9,"Other/Unknown, ",48,0.7
NE,PAWNEE,R,"Mondale, Walter",552,29.3,"Reagan, Ronald",1306,69.3,"Other/Unknown, ",26,1.4
NE,PERKINS,R,"Mondale, Walter",307,17.7,"Reagan, Ronald",1420,81.8,"Other/Unknown, ",9,0.5
NE,PHELPS,R,"Mondale, Walter",740,16.4,"Reagan, Ronald",3741,83.1,"Other/Unknown, ",20,0.4
NE,PIERCE,R,"Mondale, Walter",545,15.2,"Reagan, Ronald",3017,84.1,"Other/Unknown, ",27,0.8
NE,PLATTE,R,"Mondale, Walter",2061,16.9,"Reagan, Ronald",10069,82.4,"Other/Unknown, ",92,0.8
NE,POLK,R,"Mondale, Walter",610,22,"Reagan, Ronald",2149,77.4,"Other/Unknown, ",17,0.6
NE,"RED WILLOW",R,"Mondale, Walter",1026,19.8,"Reagan, Ronald",4131,79.7,"Other/Unknown, ",27,0.5
NE,RICHARDSON,R,"Mondale, Walter",1422,27.9,"Reagan, Ronald",3634,71.3,"Other/Unknown, ",42,0.8
NE,ROCK,R,"Mondale, Walter",147,14.4,"Reagan, Ronald",873,85.3,"Other/Unknown, ",3,0.3
NE,SALINE,R,"Mondale, Walter",2385,44.2,"Reagan, Ronald",2942,54.5,"Other/Unknown, ",67,1.2
NE,SARPY,R,"Mondale, Walter",6838,25.2,"Reagan, Ronald",20192,74.3,"Other/Unknown, ",130,0.5
NE,SAUNDERS,R,"Mondale, Walter",2467,31.8,"Reagan, Ronald",5217,67.3,"Other/Unknown, ",63,0.8
NE,"SCOTTS BLUFF",R,"Mondale, Walter",3074,22.2,"Reagan, Ronald",10711,77.2,"Other/Unknown, ",93,0.7
NE,SEWARD,R,"Mondale, Walter",1911,32.2,"Reagan, Ronald",3983,67.1,"Other/Unknown, ",43,0.7
NE,SHERIDAN,R,"Mondale, Walter",377,12.3,"Reagan, Ronald",2661,86.9,"Other/Unknown, ",23,0.8
NE,SHERMAN,R,"Mondale, Walter",701,37.6,"Reagan, Ronald",1144,61.4,"Other/Unknown, ",17,0.9
NE,SIOUX,R,"Mondale, Walter",121,14.1,"Reagan, Ronald",732,85.1,"Other/Unknown, ",7,0.8
NE,STANTON,R,"Mondale, Walter",411,16.4,"Reagan, Ronald",2082,83,"Other/Unknown, ",15,0.6
NE,THAYER,R,"Mondale, Walter",946,26.6,"Reagan, Ronald",2580,72.7,"Other/Unknown, ",25,0.7
NE,THOMAS,R,"Mondale, Walter",73,19.5,"Reagan, Ronald",298,79.7,"Other/Unknown, ",3,0.8
NE,THURSTON,R,"Mondale, Walter",1077,43.1,"Reagan, Ronald",1410,56.4,"Other/Unknown, ",13,0.5
NE,VALLEY,R,"Mondale, Walter",739,26.3,"Reagan, Ronald",2055,73.2,"Other/Unknown, ",13,0.5
NE,WASHINGTON,R,"Mondale, Walter",1565,23,"Reagan, Ronald",5191,76.4,"Other/Unknown, ",35,0.5
NE,WAYNE,R,"Mondale, Walter",833,21.2,"Reagan, Ronald",3075,78.1,"Other/Unknown, ",28,0.7
NE,WEBSTER,R,"Mondale, Walter",645,27.4,"Reagan, Ronald",1694,71.9,"Other/Unknown, ",16,0.7
NE,WHEELER,R,"Mondale, Walter",97,20.9,"Reagan, Ronald",365,78.5,"Other/Unknown, ",3,0.6
NE,YORK,R,"Mondale, Walter",1124,17.9,"Reagan, Ronald",5147,82.1,"Other/Unknown, ",,
MA,BARNSTABLE,R,"Mondale, Walter",38369,42.7,"Reagan, Ronald",51261,57,"Other/Unknown, ",321,0.4
MA,BERKSHIRE,R,"Mondale, Walter",29745,46.6,"Reagan, Ronald",33712,52.9,"Other/Unknown, ",328,0.5
MA,BRISTOL,D,"Mondale, Walter",94010,50,"Reagan, Ronald",93232,49.6,"Other/Unknown, ",797,0.4
MA,DUKES,D,"Mondale, Walter",3313,54.1,"Reagan, Ronald",2788,45.5,"Other/Unknown, ",24,0.4
MA,ESSEX,R,"Mondale, Walter",132353,44.8,"Reagan, Ronald",162152,54.8,"Other/Unknown, ",1151,0.4
MA,FRANKLIN,R,"Mondale, Walter",15502,49.2,"Reagan, Ronald",15883,50.4,"Other/Unknown, ",148,0.5
MA,HAMPDEN,R,"Mondale, Walter",84985,48.6,"Reagan, Ronald",89330,51.1,"Other/Unknown, ",656,0.4
MA,HAMPSHIRE,D,"Mondale, Walter",35597,55.7,"Reagan, Ronald",28111,44,"Other/Unknown, ",234,0.4
MA,MIDDLESEX,D,"Mondale, Walter",325065,50.3,"Reagan, Ronald",319604,49.4,"Other/Unknown, ",2085,0.3
MA,NANTUCKET,R,"Mondale, Walter",1456,45.9,"Reagan, Ronald",1697,53.5,"Other/Unknown, ",17,0.5
MA,NORFOLK,R,"Mondale, Walter",138222,46.2,"Reagan, Ronald",160313,53.6,"Other/Unknown, ",784,0.3
MA,PLYMOUTH,R,"Mondale, Walter",68923,39.4,"Reagan, Ronald",105230,60.2,"Other/Unknown, ",618,0.4
MA,SUFFOLK,D,"Mondale, Walter",152568,62.3,"Reagan, Ronald",91563,37.4,"Other/Unknown, ",866,0.4
MA,WORCESTER,R,"Mondale, Walter",119498,43.2,"Reagan, Ronald",156060,56.5,"Other/Unknown, ",882,0.3
CT,FAIRFIELD,R,"Mondale, Walter",132253,33.8,"Reagan, Ronald",257319,65.8,"Other/Unknown, ",1607,0.4
CT,HARTFORD,R,"Mondale, Walter",168609,44.6,"Reagan, Ronald",208210,55,"Other/Unknown, ",1586,0.4
CT,LITCHFIELD,R,"Mondale, Walter",26564,33.4,"Reagan, Ronald",52583,66.2,"Other/Unknown, ",269,0.3
CT,MIDDLESEX,R,"Mondale, Walter",26915,40.3,"Reagan, Ronald",39580,59.3,"Other/Unknown, ",227,0.3
CT,"NEW HAVEN",R,"Mondale, Walter",140945,39.7,"Reagan, Ronald",212166,59.8,"Other/Unknown, ",1601,0.5
CT,"NEW LONDON",R,"Mondale, Walter",38857,37.9,"Reagan, Ronald",63121,61.6,"Other/Unknown, ",509,0.5
CT,TOLLAND,R,"Mondale, Walter",20103,37.7,"Reagan, Ronald",32981,61.9,"Other/Unknown, ",214,0.4
CT,WINDHAM,R,"Mondale, Walter",15351,37.9,"Reagan, Ronald",24917,61.6,"Other/Unknown, ",187,0.5
PA,ADAMS,R,"Mondale, Walter",7289,30.2,"Reagan, Ronald",16786,69.4,"Other/Unknown, ",99,0.4
PA,ALLEGHENY,D,"Mondale, Walter",372576,56,"Reagan, Ronald",284692,42.8,"Other/Unknown, ",8480,1.3
PA,ARMSTRONG,D,"Mondale, Walter",14525,51.2,"Reagan, Ronald",13709,48.4,"Other/Unknown, ",110,0.4
PA,BEAVER,D,"Mondale, Walter",54765,62.9,"Reagan, Ronald",32052,36.8,"Other/Unknown, ",300,0.3
PA,BEDFORD,R,"Mondale, Walter",5424,29.3,"Reagan, Ronald",13085,70.6,"Other/Unknown, ",34,0.2
PA,BERKS,R,"Mondale, Walter",37849,33.5,"Reagan, Ronald",74605,65.9,"Other/Unknown, ",691,0.6
PA,BLAIR,R,"Mondale, Walter",15651,34.1,"Reagan, Ronald",30104,65.5,"Other/Unknown, ",190,0.4
PA,BRADFORD,R,"Mondale, Walter",5474,26.9,"Reagan, Ronald",14808,72.7,"Other/Unknown, ",85,0.4
PA,BUCKS,R,"Mondale, Walter",74568,36.2,"Reagan, Ronald",130119,63.3,"Other/Unknown, ",1032,0.5
PA,BUTLER,R,"Mondale, Walter",24735,43.7,"Reagan, Ronald",31676,55.9,"Other/Unknown, ",215,0.4
PA,CAMBRIA,D,"Mondale, Walter",39865,55.1,"Reagan, Ronald",32173,44.5,"Other/Unknown, ",258,0.4
PA,CAMERON,R,"Mondale, Walter",990,32.7,"Reagan, Ronald",2031,67.1,"Other/Unknown, ",8,0.3
PA,CARBON,R,"Mondale, Walter",8836,44.9,"Reagan, Ronald",10701,54.4,"Other/Unknown, ",131,0.7
PA,CENTRE,R,"Mondale, Walter",16194,36.6,"Reagan, Ronald",27802,62.8,"Other/Unknown, ",240,0.5
PA,CHESTER,R,"Mondale, Walter",38870,29.6,"Reagan, Ronald",92221,70.1,"Other/Unknown, ",440,0.3
PA,CLARION,R,"Mondale, Walter",5407,35.3,"Reagan, Ronald",9836,64.3,"Other/Unknown, ",61,0.4
PA,CLEARFIELD,R,"Mondale, Walter",11963,38.9,"Reagan, Ronald",18653,60.6,"Other/Unknown, ",153,0.5
PA,CLINTON,R,"Mondale, Walter",4525,40.1,"Reagan, Ronald",6678,59.2,"Other/Unknown, ",70,0.6
PA,COLUMBIA,R,"Mondale, Walter",8254,36.3,"Reagan, Ronald",14402,63.4,"Other/Unknown, ",62,0.3
PA,CRAWFORD,R,"Mondale, Walter",12792,38.5,"Reagan, Ronald",20181,60.8,"Other/Unknown, ",222,0.7
PA,CUMBERLAND,R,"Mondale, Walter",21374,30.1,"Reagan, Ronald",49282,69.3,"Other/Unknown, ",467,0.7
PA,DAUPHIN,R,"Mondale, Walter",33576,37.9,"Reagan, Ronald",54330,61.3,"Other/Unknown, ",752,0.8
PA,DELAWARE,R,"Mondale, Walter",98207,37.5,"Reagan, Ronald",161754,61.8,"Other/Unknown, ",1821,0.7
PA,ELK,R,"Mondale, Walter",5486,39.2,"Reagan, Ronald",8470,60.5,"Other/Unknown, ",51,0.4
PA,ERIE,R,"Mondale, Walter",52471,48,"Reagan, Ronald",55860,51.1,"Other/Unknown, ",935,0.9
PA,FAYETTE,D,"Mondale, Walter",35098,62.1,"Reagan, Ronald",21314,37.7,"Other/Unknown, ",135,0.2
PA,FOREST,R,"Mondale, Walter",839,36.2,"Reagan, Ronald",1468,63.4,"Other/Unknown, ",10,0.4
PA,FRANKLIN,R,"Mondale, Walter",11480,29.6,"Reagan, Ronald",27243,70.1,"Other/Unknown, ",122,0.3
PA,FULTON,R,"Mondale, Walter",1309,28.6,"Reagan, Ronald",3254,71.1,"Other/Unknown, ",11,0.2
PA,GREENE,D,"Mondale, Walter",9365,59.3,"Reagan, Ronald",6376,40.4,"Other/Unknown, ",43,0.3
PA,HUNTINGDON,R,"Mondale, Walter",4430,30.2,"Reagan, Ronald",10220,69.6,"Other/Unknown, ",41,0.3
PA,INDIANA,R,"Mondale, Walter",15791,45.4,"Reagan, Ronald",18845,54.2,"Other/Unknown, ",123,0.4
PA,JEFFERSON,R,"Mondale, Walter",5950,34.3,"Reagan, Ronald",11334,65.3,"Other/Unknown, ",71,0.4
