"Presidential General Election Returns by County, National Summary (1992)"
"Generated from CQ Press U.S. Political Stats Database, January 14, 2016"
,
,
State,County,"Winning Party","Dem. Candidate (1992)","Dem. Votes","Dem. %","Rep. Candidate (1992)","Rep. Votes","Rep. %","Highest Other (1992)","Other Votes","Other %"
NE,ADAMS,R,"Clinton, Bill",3445,26.3,"Bush, George",6346,48.4,"Perot, Ross",3273,25
NE,ANTELOPE,R,"Clinton, Bill",650,17.2,"Bush, George",1979,52.4,"Perot, Ross",1134,30
NE,ARTHUR,R,"Clinton, Bill",18,6.8,"Bush, George",148,56.3,"Perot, Ross",97,36.9
NE,BANNER,R,"Clinton, Bill",68,14.2,"Bush, George",284,59.2,"Perot, Ross",128,26.7
NE,BLAINE,R,"Clinton, Bill",64,14.1,"Bush, George",256,56.5,"Perot, Ross",130,28.7
NE,BOONE,R,"Clinton, Bill",604,19.1,"Bush, George",1588,50.2,"Perot, Ross",956,30.2
NE,"BOX BUTTE",R,"Clinton, Bill",1935,34.1,"Bush, George",2198,38.8,"Perot, Ross",1508,26.6
NE,BOYD,R,"Clinton, Bill",353,22.5,"Bush, George",744,47.4,"Perot, Ross",468,29.8
NE,BROWN,R,"Clinton, Bill",311,16.8,"Bush, George",999,54.1,"Perot, Ross",525,28.4
NE,BUFFALO,R,"Clinton, Bill",3742,21.2,"Bush, George",9708,55.1,"Perot, Ross",4083,23.2
NE,BURT,R,"Clinton, Bill",1224,31.3,"Bush, George",1667,42.6,"Perot, Ross",1009,25.8
NE,BUTLER,R,"Clinton, Bill",1087,26.2,"Bush, George",1881,45.4,"Perot, Ross",1157,27.9
NE,CASS,R,"Clinton, Bill",2949,29.6,"Bush, George",4314,43.2,"Perot, Ross",2657,26.6
NE,CEDAR,R,"Clinton, Bill",1007,22.3,"Bush, George",1981,43.8,"Perot, Ross",1507,33.4
NE,CHASE,R,"Clinton, Bill",398,19.1,"Bush, George",1000,48,"Perot, Ross",674,32.4
NE,CHERRY,R,"Clinton, Bill",563,18.7,"Bush, George",1707,56.7,"Perot, Ross",730,24.3
NE,CHEYENNE,R,"Clinton, Bill",967,22.8,"Bush, George",2197,51.8,"Perot, Ross",1061,25
NE,CLAY,R,"Clinton, Bill",802,22.4,"Bush, George",1818,50.8,"Perot, Ross",952,26.6
NE,COLFAX,R,"Clinton, Bill",1011,24.4,"Bush, George",1915,46.2,"Perot, Ross",1197,28.9
NE,CUMING,R,"Clinton, Bill",835,17.6,"Bush, George",2711,57.1,"Perot, Ross",1192,25.1
NE,CUSTER,R,"Clinton, Bill",1126,19.3,"Bush, George",3180,54.6,"Perot, Ross",1492,25.6
NE,DAKOTA,R,"Clinton, Bill",2322,36.2,"Bush, George",2771,43.2,"Perot, Ross",1307,20.4
NE,DAWES,R,"Clinton, Bill",987,24.3,"Bush, George",1961,48.2,"Perot, Ross",1103,27.1
NE,DAWSON,R,"Clinton, Bill",1739,19.8,"Bush, George",4710,53.6,"Perot, Ross",2305,26.2
NE,DEUEL,R,"Clinton, Bill",232,20.7,"Bush, George",558,49.8,"Perot, Ross",327,29.2
NE,DIXON,R,"Clinton, Bill",830,27.2,"Bush, George",1484,48.6,"Perot, Ross",726,23.8
NE,DODGE,R,"Clinton, Bill",4665,28.4,"Bush, George",7269,44.3,"Perot, Ross",4432,27
NE,DOUGLAS,R,"Clinton, Bill",67003,33.5,"Bush, George",93421,46.7,"Perot, Ross",38641,19.3
NE,DUNDY,R,"Clinton, Bill",244,19.5,"Bush, George",664,53,"Perot, Ross",332,26.5
NE,FILLMORE,R,"Clinton, Bill",988,28.4,"Bush, George",1495,42.9,"Perot, Ross",993,28.5
NE,FRANKLIN,R,"Clinton, Bill",477,24.1,"Bush, George",967,48.8,"Perot, Ross",527,26.6
NE,FRONTIER,R,"Clinton, Bill",302,19.2,"Bush, George",785,50,"Perot, Ross",479,30.5
NE,FURNAS,R,"Clinton, Bill",624,22.3,"Bush, George",1365,48.7,"Perot, Ross",804,28.7
NE,GAGE,R,"Clinton, Bill",3309,32.9,"Bush, George",3995,39.7,"Perot, Ross",2726,27.1
NE,GARDEN,R,"Clinton, Bill",212,16.3,"Bush, George",697,53.5,"Perot, Ross",385,29.5
NE,GARFIELD,R,"Clinton, Bill",221,20.3,"Bush, George",595,54.7,"Perot, Ross",270,24.8
NE,GOSPER,R,"Clinton, Bill",254,24.2,"Bush, George",492,46.9,"Perot, Ross",297,28.3
NE,GRANT,R,"Clinton, Bill",75,16.7,"Bush, George",247,55,"Perot, Ross",124,27.6
NE,GREELEY,R,"Clinton, Bill",435,30.7,"Bush, George",587,41.4,"Perot, Ross",395,27.9
NE,HALL,R,"Clinton, Bill",5519,26.7,"Bush, George",9264,44.8,"Perot, Ross",5822,28.1
NE,HAMILTON,R,"Clinton, Bill",992,21.6,"Bush, George",2379,51.7,"Perot, Ross",1213,26.4
NE,HARLAN,R,"Clinton, Bill",488,23.1,"Bush, George",991,46.9,"Perot, Ross",623,29.5
NE,HAYES,R,"Clinton, Bill",85,13,"Bush, George",362,55.4,"Perot, Ross",207,31.7
NE,HITCHCOCK,R,"Clinton, Bill",359,20.7,"Bush, George",824,47.6,"Perot, Ross",540,31.2
NE,HOLT,R,"Clinton, Bill",835,14.6,"Bush, George",3131,54.9,"Perot, Ross",1714,30.1
NE,HOOKER,R,"Clinton, Bill",70,15.4,"Bush, George",283,62.2,"Perot, Ross",102,22.4
NE,HOWARD,R,"Clinton, Bill",778,27.1,"Bush, George",1138,39.7,"Perot, Ross",940,32.8
NE,JEFFERSON,R,"Clinton, Bill",1506,33.5,"Bush, George",1783,39.7,"Perot, Ross",1177,26.2
NE,JOHNSON,R,"Clinton, Bill",822,34.8,"Bush, George",885,37.5,"Perot, Ross",642,27.2
NE,KEARNEY,R,"Clinton, Bill",644,19.8,"Bush, George",1751,53.8,"Perot, Ross",844,25.9
NE,KEITH,R,"Clinton, Bill",731,18.8,"Bush, George",2019,51.8,"Perot, Ross",1130,29
NE,"KEYA PAHA",R,"Clinton, Bill",105,16.6,"Bush, George",368,58.3,"Perot, Ross",158,25
NE,KIMBALL,R,"Clinton, Bill",408,22.8,"Bush, George",931,52.1,"Perot, Ross",440,24.6
NE,KNOX,R,"Clinton, Bill",968,22.7,"Bush, George",2112,49.5,"Perot, Ross",1166,27.4
NE,LANCASTER,R,"Clinton, Bill",41207,39.3,"Bush, George",41400,39.5,"Perot, Ross",21783,20.8
NE,LINCOLN,R,"Clinton, Bill",5142,33,"Bush, George",7025,45.1,"Perot, Ross",3384,21.7
NE,LOGAN,R,"Clinton, Bill",80,17.7,"Bush, George",271,60.1,"Perot, Ross",98,21.7
NE,LOUP,R,"Clinton, Bill",58,14.9,"Bush, George",233,59.9,"Perot, Ross",96,24.7
NE,MADISON,R,"Clinton, Bill",2352,17.1,"Bush, George",7851,57.2,"Perot, Ross",3486,25.4
NE,MCPHERSON,R,"Clinton, Bill",49,14.9,"Bush, George",217,66,"Perot, Ross",62,18.8
NE,MERRICK,R,"Clinton, Bill",864,22.7,"Bush, George",1854,48.6,"Perot, Ross",1072,28.1
NE,MORRILL,R,"Clinton, Bill",577,22.9,"Bush, George",1184,46.9,"Perot, Ross",752,29.8
NE,NANCE,R,"Clinton, Bill",559,28.1,"Bush, George",851,42.8,"Perot, Ross",569,28.6
NE,NEMAHA,R,"Clinton, Bill",1110,28.8,"Bush, George",1696,44,"Perot, Ross",1020,26.5
NE,NUCKOLLS,R,"Clinton, Bill",834,28.2,"Bush, George",1277,43.2,"Perot, Ross",825,27.9
NE,OTOE,R,"Clinton, Bill",2038,29.8,"Bush, George",2960,43.3,"Perot, Ross",1800,26.3
NE,PAWNEE,R,"Clinton, Bill",566,31.3,"Bush, George",670,37.1,"Perot, Ross",565,31.3
NE,PERKINS,R,"Clinton, Bill",300,18,"Bush, George",842,50.5,"Perot, Ross",522,31.3
NE,PHELPS,R,"Clinton, Bill",829,16.9,"Bush, George",2748,56.2,"Perot, Ross",1298,26.5
NE,PIERCE,R,"Clinton, Bill",611,17.2,"Bush, George",1853,52,"Perot, Ross",1084,30.4
NE,PLATTE,R,"Clinton, Bill",2409,17.4,"Bush, George",7712,55.8,"Perot, Ross",3656,26.4
NE,POLK,R,"Clinton, Bill",661,22.7,"Bush, George",1435,49.2,"Perot, Ross",812,27.8
NE,"RED WILLOW",R,"Clinton, Bill",1164,21.9,"Bush, George",2488,46.7,"Perot, Ross",1660,31.2
NE,RICHARDSON,R,"Clinton, Bill",1513,30.6,"Bush, George",2050,41.5,"Perot, Ross",1356,27.4
NE,ROCK,R,"Clinton, Bill",162,16.4,"Bush, George",588,59.6,"Perot, Ross",233,23.6
NE,SALINE,D,"Clinton, Bill",2425,42.1,"Bush, George",1740,30.2,"Perot, Ross",1576,27.3
NE,SARPY,R,"Clinton, Bill",10720,26.4,"Bush, George",20482,50.4,"Perot, Ross",9270,22.8
NE,SAUNDERS,R,"Clinton, Bill",2509,27.4,"Bush, George",4037,44.1,"Perot, Ross",2567,28
NE,"SCOTTS BLUFF",R,"Clinton, Bill",4173,27.9,"Bush, George",7213,48.3,"Perot, Ross",3514,23.5
NE,SEWARD,R,"Clinton, Bill",2118,30.7,"Bush, George",3044,44.1,"Perot, Ross",1722,24.9
